Timestamp,Pessoas Detectadas,Energia Simulada (W),Observação
2025-06-02 23:08:35,9,900,Alta ocupação
2025-06-02 23:08:35,8,800,Alta ocupação
2025-06-02 23:08:35,8,800,Alta ocupação
2025-06-02 23:08:35,9,900,Alta ocupação
2025-06-02 23:08:35,8,800,Alta ocupação
2025-06-02 23:08:35,9,900,Alta ocupação
2025-06-02 23:08:35,8,800,Alta ocupação
2025-06-02 23:08:35,8,800,Alta ocupação
2025-06-02 23:08:35,7,700,Alta ocupação
2025-06-02 23:08:35,8,800,Alta ocupação
2025-06-02 23:08:35,8,800,Alta ocupação
2025-06-02 23:08:35,8,800,Alta ocupação
2025-06-02 23:08:35,8,800,Alta ocupação
2025-06-02 23:08:35,9,900,Alta ocupação
2025-06-02 23:08:35,10,1000,Alta ocupação
2025-06-02 23:08:35,9,900,Alta ocupação
2025-06-02 23:08:36,9,900,Alta ocupação
2025-06-02 23:08:36,10,1000,Alta ocupação
2025-06-02 23:08:36,8,800,Alta ocupação
2025-06-02 23:08:36,8,800,Alta ocupação
2025-06-02 23:08:36,9,900,Alta ocupação
2025-06-02 23:08:36,9,900,Alta ocupação
2025-06-02 23:08:36,8,800,Alta ocupação
2025-06-02 23:08:36,8,800,Alta ocupação
2025-06-02 23:08:36,9,900,Alta ocupação
2025-06-02 23:08:36,7,700,Alta ocupação
2025-06-02 23:08:36,7,700,Alta ocupação
2025-06-02 23:08:36,7,700,Alta ocupação
2025-06-02 23:08:36,7,700,Alta ocupação
2025-06-02 23:08:36,8,800,Alta ocupação
2025-06-02 23:08:36,9,900,Alta ocupação
2025-06-02 23:08:36,9,900,Alta ocupação
2025-06-02 23:08:36,9,900,Alta ocupação
2025-06-02 23:08:36,9,900,Alta ocupação
2025-06-02 23:08:36,9,900,Alta ocupação
2025-06-02 23:08:36,8,800,Alta ocupação
2025-06-02 23:08:36,9,900,Alta ocupação
2025-06-02 23:08:36,7,700,Alta ocupação
2025-06-02 23:08:36,7,700,Alta ocupação
2025-06-02 23:08:36,7,700,Alta ocupação
2025-06-02 23:08:36,7,700,Alta ocupação
2025-06-02 23:08:37,8,800,Alta ocupação
2025-06-02 23:08:37,7,700,Alta ocupação
2025-06-02 23:08:37,7,700,Alta ocupação
2025-06-02 23:08:37,8,800,Alta ocupação
2025-06-02 23:08:37,8,800,Alta ocupação
2025-06-02 23:08:37,8,800,Alta ocupação
2025-06-02 23:08:37,7,700,Alta ocupação
2025-06-02 23:08:37,8,800,Alta ocupação
2025-06-02 23:08:37,8,800,Alta ocupação
2025-06-02 23:08:37,7,700,Alta ocupação
2025-06-02 23:08:37,7,700,Alta ocupação
2025-06-02 23:08:37,7,700,Alta ocupação
2025-06-02 23:08:37,8,800,Alta ocupação
2025-06-02 23:08:37,8,800,Alta ocupação
2025-06-02 23:08:37,7,700,Alta ocupação
2025-06-02 23:08:37,7,700,Alta ocupação
2025-06-02 23:08:37,8,800,Alta ocupação
2025-06-02 23:08:37,7,700,Alta ocupação
2025-06-02 23:08:37,6,600,Alta ocupação
2025-06-02 23:08:37,7,700,Alta ocupação
2025-06-02 23:08:37,7,700,Alta ocupação
2025-06-02 23:08:37,8,800,Alta ocupação
2025-06-02 23:08:37,8,800,Alta ocupação
2025-06-02 23:08:37,8,800,Alta ocupação
2025-06-02 23:08:37,7,700,Alta ocupação
2025-06-02 23:08:38,9,900,Alta ocupação
2025-06-02 23:08:38,8,800,Alta ocupação
2025-06-02 23:08:38,8,800,Alta ocupação
2025-06-02 23:08:38,9,900,Alta ocupação
2025-06-02 23:08:38,9,900,Alta ocupação
2025-06-02 23:08:38,11,1100,Alta ocupação
2025-06-02 23:08:38,10,1000,Alta ocupação
